test_type,num_operations,run,time_ms,batch_size
single_insertion,100,1,12,1
single_insertion,100,2,11,1
single_insertion,100,3,12,1
single_insertion,100,4,11,1
single_insertion,100,5,11,1
single_insertion,1000,1,225,1
single_insertion,1000,2,223,1
single_insertion,1000,3,225,1
single_insertion,1000,4,226,1
single_insertion,1000,5,225,1
single_insertion,10000,1,4039,1
single_insertion,10000,2,4017,1
single_insertion,10000,3,4026,1
single_insertion,10000,4,4037,1
single_insertion,10000,5,4019,1
single_insertion,100000,1,71455,1
single_insertion,100000,2,71372,1
single_insertion,100000,3,71377,1
single_insertion,100000,4,71398,1
single_insertion,100000,5,71368,1
single_extraction,100,1,3,1
single_extraction,100,2,2,1
single_extraction,100,3,3,1
single_extraction,100,4,2,1
single_extraction,100,5,3,1
single_extraction,1000,1,30,1
single_extraction,1000,2,29,1
single_extraction,1000,3,29,1
single_extraction,1000,4,29,1
single_extraction,1000,5,29,1
single_extraction,10000,1,606,1
single_extraction,10000,2,610,1
single_extraction,10000,3,603,1
single_extraction,10000,4,606,1
single_extraction,10000,5,609,1
single_extraction,100000,1,28795,1
single_extraction,100000,2,28841,1
single_extraction,100000,3,28854,1
single_extraction,100000,4,28839,1
single_extraction,100000,5,28814,1
batch_insertion,1000,1,4,64
batch_insertion,1000,2,3,64
batch_insertion,1000,3,3,64
batch_insertion,1000,4,3,64
batch_insertion,1000,5,4,64
batch_insertion,1000,1,1,128
batch_insertion,1000,2,1,128
batch_insertion,1000,3,1,128
batch_insertion,1000,4,1,128
batch_insertion,1000,5,1,128
batch_insertion,1000,1,0,256
batch_insertion,1000,2,0,256
batch_insertion,1000,3,1,256
batch_insertion,1000,4,0,256
batch_insertion,1000,5,1,256
batch_insertion,10000,1,64,64
batch_insertion,10000,2,63,64
batch_insertion,10000,3,63,64
batch_insertion,10000,4,63,64
batch_insertion,10000,5,63,64
batch_insertion,10000,1,33,128
batch_insertion,10000,2,32,128
batch_insertion,10000,3,32,128
batch_insertion,10000,4,32,128
batch_insertion,10000,5,32,128
batch_insertion,10000,1,17,256
batch_insertion,10000,2,17,256
batch_insertion,10000,3,17,256
batch_insertion,10000,4,17,256
batch_insertion,10000,5,16,256
batch_insertion,100000,1,1118,64
batch_insertion,100000,2,1114,64
batch_insertion,100000,3,1113,64
batch_insertion,100000,4,1114,64
batch_insertion,100000,5,1111,64
batch_insertion,100000,1,555,128
batch_insertion,100000,2,559,128
batch_insertion,100000,3,556,128
batch_insertion,100000,4,559,128
batch_insertion,100000,5,554,128
batch_insertion,100000,1,282,256
batch_insertion,100000,2,278,256
batch_insertion,100000,3,277,256
batch_insertion,100000,4,283,256
batch_insertion,100000,5,278,256
batch_extraction,1000,1,1,64
batch_extraction,1000,2,0,64
batch_extraction,1000,3,0,64
batch_extraction,1000,4,1,64
batch_extraction,1000,5,0,64
batch_extraction,1000,1,0,128
batch_extraction,1000,2,0,128
batch_extraction,1000,3,0,128
batch_extraction,1000,4,0,128
batch_extraction,1000,5,0,128
batch_extraction,1000,1,0,256
batch_extraction,1000,2,0,256
batch_extraction,1000,3,0,256
batch_extraction,1000,4,0,256
batch_extraction,1000,5,0,256
batch_extraction,10000,1,12,64
batch_extraction,10000,2,12,64
batch_extraction,10000,3,11,64
batch_extraction,10000,4,12,64
batch_extraction,10000,5,12,64
batch_extraction,10000,1,5,128
batch_extraction,10000,2,6,128
batch_extraction,10000,3,6,128
batch_extraction,10000,4,6,128
batch_extraction,10000,5,6,128
batch_extraction,10000,1,3,256
batch_extraction,10000,2,3,256
batch_extraction,10000,3,3,256
batch_extraction,10000,4,2,256
batch_extraction,10000,5,2,256
batch_extraction,100000,1,469,64
batch_extraction,100000,2,473,64
batch_extraction,100000,3,474,64
batch_extraction,100000,4,466,64
batch_extraction,100000,5,473,64
batch_extraction,100000,1,234,128
batch_extraction,100000,2,237,128
batch_extraction,100000,3,240,128
batch_extraction,100000,4,235,128
batch_extraction,100000,5,234,128
batch_extraction,100000,1,117,256
batch_extraction,100000,2,117,256
batch_extraction,100000,3,119,256
batch_extraction,100000,4,119,256
batch_extraction,100000,5,117,256
